atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,FS,RB,PE,FC,G,FF,FT,FD,DD,GS,SG,A,CA,I,CV,PP,GC,DP,
ata,262,78415,2,Fernando Uribe Hincapié,uribe,Uribe,https://s.glbimg.com/es/sde/f/2019/04/26/f94c6a4ef31e31d35c4b5173db04142b_FORMATO.png,Dúvida,0,7,0,0,Flamengo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626
ata,262,78435,2,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,0,9,0,0,Flamengo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621
ata,262,78435,3,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,0,9,0,0,Flamengo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
ata,262,78435,5,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Dúvida,5.2,9.29,-0.26,7.65,Flamengo,1,2,4,2,1,3,0,3,0,0,0,0,0,0,0,0,0,0,468
ata,262,78435,6,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,0.4,8.56,-0.73,5.23,Flamengo,2,2,7,2,1,4,0,3,0,0,0,0,0,0,0,0,0,0,411
ata,262,78435,8,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Dúvida,1.8,8.35,0.1,3.6,Flamengo,5,3,7,5,1,5,0,3,0,0,0,0,0,0,0,0,0,0,373
ata,262,78435,9,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,12.2,10.51,2.16,5.03,Flamengo,6,5,14,9,2,8,0,5,0,0,0,0,0,0,0,0,0,0,342
ata,262,78435,11,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Contundido,2.5,9.17,0.26,4.2,Flamengo,9,6,15,10,2,8,0,6,0,0,0,0,0,0,0,0,0,0,431
ata,262,78435,12,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Contundido,0,9.17,0,4.2,Flamengo,9,6,15,10,2,8,0,6,0,0,0,0,0,0,0,0,0,0,633
ata,262,78435,13,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Contundido,0,9.17,0,4.2,Flamengo,9,6,15,10,2,8,0,6,0,0,0,0,0,0,0,0,0,0,247
ata,262,78435,14,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Contundido,0,9.17,0,4.2,Flamengo,9,6,15,10,2,8,0,6,0,0,0,0,0,0,0,0,0,0,366
ata,262,78435,17,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,0,9.17,0,4.2,Flamengo,9,6,15,10,2,8,0,6,0,0,0,0,0,0,0,0,0,0,238
ata,262,78435,22,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Dúvida,0,8.27,0,3.5,Flamengo,10,9,20,12,2,8,0,8,0,0,0,0,0,0,0,0,0,0,408
ata,262,78435,23,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,6.2,9.18,0.91,3.73,Flamengo,13,9,22,13,2,9,0,8,0,0,0,1,0,0,0,0,0,0,568
ata,262,78435,24,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,16.6,11.13,1.95,4.72,Flamengo,14,9,25,15,3,9,0,8,0,0,0,3,0,0,0,0,0,0,735
ata,262,78435,25,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,-1.2,8.26,-2.87,4.3,Flamengo,14,10,27,18,3,12,0,8,0,0,0,3,1,2,0,0,0,0,150
ata,262,78435,26,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,0.6,8.6,0.34,4.05,Flamengo,14,10,30,19,3,13,0,9,0,0,0,3,1,2,0,0,0,0,266
ata,262,78435,29,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,1,8.55,0.24,3.51,Flamengo,15,12,32,23,3,15,0,9,0,0,0,3,1,2,0,0,0,0,206
ata,262,78435,31,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Dúvida,5.1,9.48,-0.77,3.99,Flamengo,16,15,33,24,4,21,0,9,0,0,0,3,1,3,0,0,0,0,128
ata,262,78435,32,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Provável,0.7,8.82,-0.66,3.83,Flamengo,16,15,33,25,4,21,0,10,0,0,0,3,1,3,0,0,0,0,265
ata,262,78435,34,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Dúvida,0,8.82,0,3.83,Flamengo,16,15,33,25,4,21,0,10,0,0,0,3,1,3,0,0,0,0,174
ata,262,78435,36,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Suspenso,4.3,9.44,-0.37,4.02,Flamengo,19,19,36,30,5,23,0,12,0,0,0,3,3,3,0,0,0,0,228
ata,262,78435,37,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Dúvida,0,9.44,0,4.02,Flamengo,19,19,36,30,5,23,0,12,0,0,0,3,3,3,0,0,0,0,250
ata,262,78435,38,Victor Vinícius Coelho dos Santos,vitinho,Vitinho,https://s.glbimg.com/es/sde/f/2019/04/26/36d518358679018a8859dd349da9e91c_FORMATO.png,Dúvida,0.8,8.66,-0.78,3.89,Flamengo,19,19,36,30,5,24,0,12,0,0,0,3,3,3,0,0,0,0,302
ata,262,83257,0,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/02/04/9b148dc0cddfe96f23b3bee59f70143e_FORMATO.png,Provável,0,14,0,0,Flamengo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ata,262,83257,1,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,12,18.04,4.04,12,Flamengo,4,2,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,22
ata,262,83257,4,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,0,16.91,0,6.45,Flamengo,4,2,6,1,1,2,0,3,0,0,0,0,1,2,0,0,0,0,7
ata,262,83257,5,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Dúvida,0.8,14.38,-2.53,4.57,Flamengo,5,2,9,1,1,2,0,4,0,0,0,0,1,2,0,0,0,0,7
ata,262,83257,7,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,17.9,18.33,2.61,7.74,Flamengo,7,2,13,2,4,3,0,6,0,0,0,0,1,5,0,0,0,0,5
ata,262,83257,8,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,1.3,15.79,-2.54,6.67,Flamengo,8,2,15,4,4,6,0,6,0,0,0,0,1,5,0,0,0,0,23
ata,262,83257,9,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,14.3,18.25,2.46,7.76,Flamengo,9,4,16,4,5,10,0,8,0,0,0,0,2,6,0,0,0,0,470
ata,262,83257,10,Gabriel Barbosa Almeida,gabriel,Gabriel,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,Provável,31,22.68,4.43,10.66,Flamengo,9,5,20,5,7,12,0,11,0,0,0,2,2,6,0,0,0,0,373
