nome_clube,id_clube,rodada,mando
palmeiras,275,1,1
santos,277,1,0
sao_paulo,276,1,1
corinthians,264,1,0
flamengo,262,1,1
atletico_pr,293,1,1
ceara,354,1,1
bahia,265,1,1
internacional,285,1,0
atletico_mg,282,1,1
botafogo,263,1,0
gremio,284,1,1
fluminense,266,1,1
fortaleza,356,1,0
vasco,267,1,0
chapecoense,315,1,1
cruzeiro,283,1,0
goias,290,1,0
avai,314,1,0
csa,341,1,0
palmeiras,275,2,0
santos,277,2,1
sao_paulo,276,2,0
corinthians,264,2,1
flamengo,262,2,0
atletico_pr,293,2,0
ceara,354,2,0
bahia,265,2,0
internacional,285,2,1
atletico_mg,282,2,0
botafogo,263,2,1
gremio,284,2,0
fluminense,266,2,0
fortaleza,356,2,1
vasco,267,2,1
chapecoense,315,2,0
cruzeiro,283,2,1
goias,290,2,1
avai,314,2,1
csa,341,2,1
palmeiras,275,3,1
santos,277,3,0
sao_paulo,276,3,1
corinthians,264,3,0
flamengo,262,3,0
atletico_pr,293,3,0
ceara,354,3,1
bahia,265,3,1
internacional,285,3,0
atletico_mg,282,3,0
botafogo,263,3,1
gremio,284,3,1
fluminense,266,3,0
fortaleza,356,3,0
vasco,267,3,1
chapecoense,315,3,1
cruzeiro,283,3,1
goias,290,3,0
avai,314,3,0
csa,341,3,1
palmeiras,275,4,0
santos,277,4,1
sao_paulo,276,4,0
corinthians,264,4,1
flamengo,262,4,1
atletico_pr,293,4,1
ceara,354,4,0
bahia,265,4,0
internacional,285,4,1
atletico_mg,282,4,1
botafogo,263,4,0
gremio,284,4,0
fluminense,266,4,1
fortaleza,356,4,1
vasco,267,4,0
chapecoense,315,4,0
cruzeiro,283,4,0
goias,290,4,1
avai,314,4,1
csa,341,4,0
palmeiras,275,5,1
santos,277,5,0
sao_paulo,276,5,1
corinthians,264,5,0
flamengo,262,5,0
atletico_pr,293,5,1
ceara,354,5,1
bahia,265,5,0
internacional,285,5,1
atletico_mg,282,5,1
botafogo,263,5,0
gremio,284,5,0
fluminense,266,5,1
fortaleza,356,5,0
vasco,267,5,1
chapecoense,315,5,1
cruzeiro,283,5,0
goias,290,5,1
avai,314,5,0
csa,341,5,0
palmeiras,275,6,0
santos,277,6,1
sao_paulo,276,6,0
corinthians,264,6,1
flamengo,262,6,1
atletico_pr,293,6,0
ceara,354,6,0
bahia,265,6,1
internacional,285,6,0
atletico_mg,282,6,0
botafogo,263,6,1
gremio,284,6,1
fluminense,266,6,0
fortaleza,356,6,1
vasco,267,6,0
chapecoense,315,6,0
cruzeiro,283,6,1
goias,290,6,0
avai,314,6,1
csa,341,6,1
palmeiras,275,7,0
santos,277,7,0
sao_paulo,276,7,1
corinthians,264,7,1
flamengo,262,7,1
atletico_pr,293,7,1
ceara,354,7,1
bahia,265,7,1
internacional,285,7,1
atletico_mg,282,7,1
botafogo,263,7,1
gremio,284,7,0
fluminense,266,7,0
fortaleza,356,7,0
vasco,267,7,0
chapecoense,315,7,1
cruzeiro,283,7,0
goias,290,7,0
avai,314,7,0
csa,341,7,0
palmeiras,275,8,1
santos,277,8,1
sao_paulo,276,8,0
corinthians,264,8,0
flamengo,262,8,0
atletico_pr,293,8,0
ceara,354,8,1
bahia,265,8,0
internacional,285,8,0
atletico_mg,282,8,0
botafogo,263,8,0
gremio,284,8,1
fluminense,266,8,1
fortaleza,356,8,0
vasco,267,8,1
chapecoense,315,8,0
