atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,FS,DS,PI,FC,G,FF,FT,FD,DD,GS,SG,A,CA,I,CV,PP,GC,DP,,atletas.jogos_num
ata,0,42116,1,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png,Provável,0,15,0,0,Palmeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0
ata,0,42116,2,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png,Dúvida,0,11.09,-3.91,0,Palmeiras,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,1
ata,0,72772,1,Luiz Adriano de Souza da Silva,luiz-adriano,Luiz Adriano,https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png,Provável,0,11,0,0,Palmeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0
ata,0,72772,2,Luiz Adriano de Souza da Silva,luiz-adriano,Luiz Adriano,https://s.glbimg.com/es/sde/f/2019/08/09/03390afe55e2bf08d4cb4d0da02c7b39_FORMATO.png,Provável,8.2,11.77,0.77,8.2,Palmeiras,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,226,1
ata,0,91607,1,Ronielson da Silva Barbosa,rony,Rony,https://s.glbimg.com/es/sde/f/2020/02/28/084ca5caaf485fd3cbf303cda6bbd8bf_FORMATO.png,Provável,0,16,0,0,Palmeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0
ata,0,91607,2,Ronielson da Silva Barbosa,rony,Rony,https://s.glbimg.com/es/sde/f/2020/02/28/084ca5caaf485fd3cbf303cda6bbd8bf_FORMATO.png,Dúvida,4.2,13.69,-2.31,4.2,Palmeiras,3,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,654,1
ata,1,68952,1,Mário Sérgio Santos Costa,marinho,Marinho,https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png,Provável,11.7,12.1,7.1,11.7,Santos,6,1,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,549,1
ata,1,68952,2,Mário Sérgio Santos Costa,marinho,Marinho,https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png,Provável,6.2,15.16,3.06,8.95,Santos,16,3,8,3,1,1,0,2,0,0,0,0,1,0,0,0,0,0,223,2
ata,1,87258,1,Yeferson Julio Soteldo Martínez,soteldo,Soteldo,https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png,Provável,0.3,6.02,-1.98,0.3,Santos,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,711,1
ata,1,87258,2,Yeferson Julio Soteldo Martínez,soteldo,Soteldo,https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png,Provável,-0.8,4.18,-1.84,-0.25,Santos,2,0,13,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,19,2
